Hotel Name,Place,Description,Ratings,Price (INR)
Skyline Hotel,Mumbai,"Child-friendly, Swimming pool, Free parking, AC, WiFi, Coffee maker, Mini bar, Laundry service",2.08,15963
Urban Retreat,Mumbai,"Airport shuttle, Free breakfast, TV with cable, AC, Conference room, Gym, Swimming pool",2.64,11386
The Serene Spot,Mumbai,"Child-friendly, TV with cable, Free breakfast, Bar, Conference room",1.52,11195
Hotel Sunshine,Mumbai,"Restaurant, 24/7 Room service, Child-friendly, TV with cable, Swimming pool, Business center, Bar",4.32,10371
Golden Nest,Mumbai,"Bar, Spa services, Restaurant, Pet-friendly, Balcony view, Conference room, Coffee maker, AC, Free breakfast",1.72,13475
The Sapphire,Pune,"Free parking, Child-friendly, Gym, WiFi, Laundry service",1.64,2784
The Sapphire,Mumbai,"24/7 Room service, Bar, Restaurant, Conference room, Laundry service, WiFi, Coffee maker, Mini bar, AC, TV with cable",2.16,4381
Royal Residency,Bengaluru,"Gym, Spa services, Free parking, Laundry service, Airport shuttle, 24/7 Room service, AC, Pet-friendly, Free breakfast",3.92,11564
Paradise Stay,Pune,"Pet-friendly, Restaurant, TV with cable, Free parking, Spa services",1.24,6325
Paradise Stay,Mumbai,"Pet-friendly, Swimming pool, Mini bar, Restaurant, Airport shuttle, Free parking, 24/7 Room service",2.64,3675
Grand Palace,Mumbai,"TV with cable, WiFi, Restaurant, Bar, Coffee maker, Swimming pool, AC",3.52,11274
Golden Nest,Mumbai,"Child-friendly, Restaurant, WiFi, Swimming pool, Laundry service, Balcony view, Airport shuttle, 24/7 Room service, Conference room, Coffee maker",2.56,7775
Skyline Hotel,Bengaluru,"Balcony view, AC, Bar, Mini bar, Conference room, Business center",4.36,16373
Golden Nest,Pune,"Restaurant, Free breakfast, Coffee maker, Spa services, Swimming pool, Conference room, Business center",1.44,15400
The Sapphire,Mumbai,"Business center, WiFi, Spa services, Balcony view, Conference room, Laundry service, Free parking, Restaurant, Pet-friendly",2.2,4800
Emerald Elegance,Bengaluru,"Restaurant, Child-friendly, 24/7 Room service, Airport shuttle, Business center, AC, Laundry service, TV with cable, Free parking",4.0,12530
Royal Residency,Mumbai,"Free parking, Child-friendly, 24/7 Room service, Pet-friendly, WiFi, Restaurant, Conference room, Balcony view, Mini bar",2.52,2514
Regal Heights,Bengaluru,"Spa services, Child-friendly, Conference room, Coffee maker, Pet-friendly, Balcony view, Bar, Free parking",3.84,19791
Urban Retreat,Pune,"AC, Airport shuttle, Mini bar, Bar, Free breakfast, Spa services, Gym, Child-friendly, Business center, Swimming pool",3.04,9629
Grand Palace,Pune,"Free breakfast, WiFi, Business center, AC, Laundry service, Swimming pool, Balcony view, Spa services, Conference room",1.12,9465
Majestic View,Pune,"Restaurant, Swimming pool, Gym, Conference room, Free breakfast, Airport shuttle, WiFi",3.0,6575
The Sapphire,Pune,"Bar, AC, Coffee maker, Pet-friendly, Balcony view, Gym",4.96,18823
Majestic View,Bengaluru,"Free parking, Free breakfast, Conference room, Business center, WiFi, Airport shuttle, Mini bar, Gym, Spa services, Laundry service",2.84,13158
Skyline Hotel,Mumbai,"AC, Airport shuttle, Conference room, WiFi, Child-friendly, Spa services",2.56,16579
The Serene Spot,Bengaluru,"Coffee maker, 24/7 Room service, Business center, Conference room, Balcony view, TV with cable",4.48,10868
Harmony Hotel,Pune,"24/7 Room service, Mini bar, Spa services, Business center, Gym, Swimming pool, Balcony view, Pet-friendly, WiFi",3.8,13014
Grand Palace,Pune,"WiFi, Airport shuttle, Restaurant, Spa services, AC, Pet-friendly, 24/7 Room service, Laundry service, Conference room",2.92,16662
Elite Stay,Mumbai,"Pet-friendly, Spa services, Child-friendly, Swimming pool, Airport shuttle, TV with cable, Mini bar, Bar",4.28,4308
Grand Palace,Mumbai,"Bar, Coffee maker, Free breakfast, TV with cable, Conference room, Balcony view, Gym, Spa services, 24/7 Room service",3.0,18342
Emerald Elegance,Bengaluru,"Restaurant, Laundry service, Bar, Business center, 24/7 Room service, Airport shuttle, Balcony view, Swimming pool, Gym",4.56,17851
Harmony Hotel,Mumbai,"Laundry service, Coffee maker, WiFi, Bar, Swimming pool",4.72,7370
Majestic View,Mumbai,"Gym, Pet-friendly, Swimming pool, 24/7 Room service, Restaurant, Coffee maker, Free parking, TV with cable, Airport shuttle, Business center",2.88,11675
Grand Palace,Pune,"Mini bar, TV with cable, Swimming pool, Pet-friendly, Bar, Laundry service",4.88,4257
Emerald Elegance,Bengaluru,"Free parking, Business center, 24/7 Room service, Airport shuttle, Child-friendly, Free breakfast, WiFi, Pet-friendly, TV with cable",4.64,7370
