occupancy,room_type,bedcount,month,price
0.19,Deluxe,1,January,3832.5
0.7,Deluxe,1,January,4725
0.41,Deluxe,1,January,4217.5
0.08,Deluxe,1,January,3640
0.15,Deluxe,1,January,3762.5
0.04,Deluxe,1,January,3570
0.87,Deluxe,1,January,5022.5
0.14,Deluxe,1,January,3745
0.86,Deluxe,1,January,5005
0.71,Deluxe,1,January,4742.5
0.31,Deluxe,1,January,4042.5
0.56,Deluxe,1,January,4480
0.23,Deluxe,1,January,3902.5
0.69,Deluxe,1,January,4707.5
0.11,Deluxe,1,January,3692.5
0.91,Deluxe,1,January,5092.5
0.16,Deluxe,1,January,3780
0.63,Deluxe,1,January,4602.5
0.93,Deluxe,1,January,5127.5
0.08,Deluxe,1,January,3640
0.02,Deluxe,1,January,3535
0.61,Deluxe,1,January,4567.5
0.06,Deluxe,1,January,3605
0.01,Deluxe,1,January,3517.5
0.46,Deluxe,1,January,4305
0.41,Deluxe,1,January,4217.5
0.69,Deluxe,1,January,4707.5
0.07,Deluxe,1,January,3622.5
0.19,Deluxe,1,January,3832.5
1,Deluxe,1,January,5250
0.66,Deluxe,1,January,4655
0.16,Deluxe,1,January,3780
0.44,Deluxe,1,January,4270
0.35,Deluxe,1,January,4112.5
0.34,Deluxe,1,January,4095
0.16,Deluxe,1,January,3780
0.69,Deluxe,1,January,4707.5
0.1,Deluxe,1,January,3675
0.94,Deluxe,1,January,5145
0.49,Deluxe,1,January,4357.5
0.03,Deluxe,1,January,3552.5
0.49,Deluxe,1,January,4357.5
0.86,Deluxe,1,January,5005
0.91,Deluxe,1,January,5092.5
0.06,Deluxe,1,January,3605
0.59,Deluxe,1,January,4532.5
0.63,Deluxe,1,January,4602.5
0.88,Deluxe,1,January,5040
0.6,Deluxe,1,January,4550
0.6,Deluxe,1,January,4550
0.13,Deluxe,2,January,4473
0.5,Deluxe,2,January,5250
0.65,Deluxe,2,January,5565
0.79,Deluxe,2,January,5859
0.23,Deluxe,2,January,4683
0.98,Deluxe,2,January,6258
0.76,Deluxe,2,January,5796
0.65,Deluxe,2,January,5565
0.5,Deluxe,2,January,5250
0.63,Deluxe,2,January,5523
0.18,Deluxe,2,January,4578
0.22,Deluxe,2,January,4662
0.74,Deluxe,2,January,5754
0.71,Deluxe,2,January,5691
0.19,Deluxe,2,January,4599
0.3,Deluxe,2,January,4830
0.86,Deluxe,2,January,6006
0.39,Deluxe,2,January,5019
0.81,Deluxe,2,January,5901
0.75,Deluxe,2,January,5775
0.4,Deluxe,2,January,5040
0.65,Deluxe,2,January,5565
0.43,Deluxe,2,January,5103
0.86,Deluxe,2,January,6006
0.28,Deluxe,2,January,4788
0.27,Deluxe,2,January,4767
0.57,Deluxe,2,January,5397
0.94,Deluxe,2,January,6174
0.99,Deluxe,2,January,6279
0.91,Deluxe,2,January,6111
0.84,Deluxe,2,January,5964
0.58,Deluxe,2,January,5418
0.86,Deluxe,2,January,6006
0.05,Deluxe,2,January,4305
0.21,Deluxe,2,January,4641
0.31,Deluxe,2,January,4851
0.51,Deluxe,2,January,5271
0.46,Deluxe,2,January,5166
0.62,Deluxe,2,January,5502
0.33,Deluxe,2,January,4893
0.73,Deluxe,2,January,5733
0.47,Deluxe,2,January,5187
0.97,Deluxe,2,January,6237
0.61,Deluxe,2,January,5481
0.26,Deluxe,2,January,4746
0.53,Deluxe,2,January,5313
0.17,Deluxe,2,January,4557
0.27,Deluxe,2,January,4767
0.28,Deluxe,2,January,4788
0.31,Deluxe,2,January,4851
0.41,Deluxe,3,January,5904.5
0.05,Deluxe,3,January,5022.5
0.74,Deluxe,3,January,6713
0.73,Deluxe,3,January,6688.5
0.96,Deluxe,3,January,7252
0.03,Deluxe,3,January,4973.5
0.61,Deluxe,3,January,6394.5
0.79,Deluxe,3,January,6835.5
0.39,Deluxe,3,January,5855.5
0.98,Deluxe,3,January,7301
0.55,Deluxe,3,January,6247.5
0.3,Deluxe,3,January,5635
0.96,Deluxe,3,January,7252
0.2,Deluxe,3,January,5390
0.68,Deluxe,3,January,6566
0.6,Deluxe,3,January,6370
0.17,Deluxe,3,January,5316.5
0.27,Deluxe,3,January,5561.5
0.37,Deluxe,3,January,5806.5
0.38,Deluxe,3,January,5831
0.03,Deluxe,3,January,4973.5
0.75,Deluxe,3,January,6737.5
0.24,Deluxe,3,January,5488
0.42,Deluxe,3,January,5929
0.57,Deluxe,3,January,6296.5
0.82,Deluxe,3,January,6909
0.16,Deluxe,3,January,5292
0.91,Deluxe,3,January,7129.5
