Place,Hotel Name,Latitude,Longitude,Rating,Description,Price,Activity
Mumbai,Royal Mumbai Retreat 153,18.942661,72.922392,3.7,"Child-friendly, Swimming pool, Free parking, AC, WiFi, Coffee maker, Mini bar, Laundry service",8489.0,"Boating, Cultural Shows, Surfing"
Mumbai,Luxury Mumbai Palace 134,18.928028,72.957413,4.6,"Airport shuttle, Free breakfast, TV with cable, AC, Conference room, Gym, Swimming pool",13798.0,"Relaxing, Shopping, Beach Walk"
Mumbai,Royal Mumbai Resort 8,18.981391,72.902901,3.4,"Child-friendly, TV with cable, Free breakfast, Bar, Conference room",10073.0,"Palace Tours, Skiing, Beach Walk"
Mumbai,Cozy Mumbai Inn 442,19.088635,72.792986,3.9,"Restaurant, 24/7 Room service, Child-friendly, TV with cable, Swimming pool, Business center, Bar",15648.0,"Marina Beach Walk, Rock Garden Visit, Fishing"
Mumbai,Serene Mumbai Palace 9,19.22806,72.930493,3.8,"Bar, Spa services, Restaurant, Pet-friendly, Balcony view, Conference room, Coffee maker, AC, Free breakfast",14297.0,"Meditation, Swimming, Camping"
Pune,Comfort Pune Inn 35,18.503771,73.979651,3.2,"Free parking, Child-friendly, Gym, WiFi, Laundry service",17550.0,"River Cruise, Street Food Tasting, Cave Exploration"
Mumbai,Cozy Mumbai Palace 77,18.924644,72.759911,4.4,"24/7 Room service, Bar, Restaurant, Conference room, Laundry service, WiFi, Coffee maker, Mini bar, AC, TV with cable",10056.0,"Swimming, Palace Tours, Museum Visits"
Bengaluru,Comfort Bengaluru Villa 149,17.864444,83.388756,3.4,"Gym, Spa services, Free parking, Laundry service, Airport shuttle, 24/7 Room service, AC, Pet-friendly, Free breakfast",11054.0,"Street Food, Meditation, Boating"
Pune,Cozy Pune Lodge 287,18.450884,73.726549,3.3,"Pet-friendly, Restaurant, TV with cable, Free parking, Spa services",13016.0,"Tech Park Tours, Swimming, Cultural Tours"
Mumbai,Elegant Mumbai Lodge 79,19.098483,72.94846,3.1,"Pet-friendly, Swimming pool, Mini bar, Restaurant, Airport shuttle, Free parking, 24/7 Room service",8989.0,"Paragliding, River Cruise, Rock Garden Visit"
Mumbai,Serene Mumbai Lodge 84,18.927688,72.96514,4.2,"TV with cable, WiFi, Restaurant, Bar, Coffee maker, Swimming pool, AC",11102.0,"Heritage Walks, Rock Garden Visit, Nightlife"
Mumbai,Cozy Mumbai Suites 26,18.911627,72.774962,4.8,"Child-friendly, Restaurant, WiFi, Swimming pool, Laundry service, Balcony view, Airport shuttle, 24/7 Room service, Conference room, Coffee maker",18328.0,"Surfing, Meditation, Heritage Walk"
Bengaluru,Grand Bengaluru Villa 4,32.895526,85.322839,4.2,"Balcony view, AC, Bar, Mini bar, Conference room, Business center",10291.0,"River Cruise, General Sightseeing, Fort Visits"
Pune,Elegant Pune Retreat 363,18.543325,73.83215,3.4,"Restaurant, Free breakfast, Coffee maker, Spa services, Swimming pool, Conference room, Business center",5209.0,"Fishing, Trekking, Nightlife"
Mumbai,Heritage Mumbai Villa 387,19.079855,72.881927,3.5,"Business center, WiFi, Spa services, Balcony view, Conference room, Laundry service, Free parking, Restaurant, Pet-friendly",1384.0,"River Cruise, Camping, Temple Visits"
Bengaluru,Luxury Bengaluru Lodge 429,32.331699,81.41456,3.9,"Restaurant, Child-friendly, 24/7 Room service, Airport shuttle, Business center, AC, Laundry service, TV with cable, Free parking",2217.0,"Temple Visits, Surfing, Desert Safari"
